Team Owner,Year,Round,Team From,Swap Owner,Swap Option,Protections,Pick Number,Pick Pool,Rank
Sacramento Kings,2029,First Round,,,,,,,
Sacramento Kings,2030,First Round,,,,,,,
Sacramento Kings,2031,First Round,,San Antonio Spurs,,,,,
Sacramento Kings,2031,First Round,Minnesota Timberwolves,,,,,,
Sacramento Kings,2032,First Round,,,,,,,
Sacramento Kings,2032,Second Round,,,,,,,
Sacramento Kings,2027,First Round,San Antonio Spurs,,,17-30 to Oklahoma City Thunder,,,
Sacramento Kings,2027,Second Round,Charlotte Hornets,,,if SAN 17-30 in 2027,,,
San Antonio Spurs,2026,First Round,Atlanta Hawks,,,,20.0,,
San Antonio Spurs,2026,Second Round,Utah Jazz,,,,35.0,,
San Antonio Spurs,2026,Second Round,Portland Trail Blazers,,,,42.0,,
San Antonio Spurs,2026,Second Round,Miami Heat,,,,44.0,,
San Antonio Spurs,2027,First Round,Atlanta Hawks,,,,,,
San Antonio Spurs,2028,First Round,,,Boston Celtics,1,,,
San Antonio Spurs,2028,Second Round,,,,,,,
San Antonio Spurs,2028,Second Round,Minnesota Timberwolves,,,,,,
San Antonio Spurs,2028,Second Round,New Orleans Pelicans,,,,,,
San Antonio Spurs,2029,First Round,,,,,,,
San Antonio Spurs,2029,Second Round,,,,,,,
San Antonio Spurs,2029,Second Round,Los Angeles Clippers,,,,,,
San Antonio Spurs,2029,Second Round,New Orleans Pelicans,,,,,,
San Antonio Spurs,2030,Second Round,,,,,,,
San Antonio Spurs,2030,Second Round,Cleveland Cavaliers,,,,,,
San Antonio Spurs,2030,Second Round,Sacramento Kings,,,,,,
San Antonio Spurs,2031,First Round,,,Sacramento Kings,,,,
San Antonio Spurs,2031,Second Round,,,,,,,
San Antonio Spurs,2031,Second Round,Sacramento Kings,,,,,,
San Antonio Spurs,2032,First Round,,,,,,,
San Antonio Spurs,2032,Second Round,,,,,,,
San Antonio Spurs,2028,Second Round,Boston Celtics,,,31-45 if BOS 1 in 2028,,,
San Antonio Spurs,2027,Second Round,,,,,,"SAN, OKC, HOU, IND, MIA",More favorable of SAN vs (least favorable of OKC/HOU/IND/MIA)
San Antonio Spurs,2030,First Round,,,,,,"SAN, DAL, MIN 2-30",Most / more favorable
Toronto Raptors,2026,First Round,,,,,19.0,,
Toronto Raptors,2026,Second Round,,,,,50.0,,
Toronto Raptors,2027,First Round,,,,,,,
Toronto Raptors,2027,Second Round,,,,,,,
Toronto Raptors,2028,First Round,,,,,,,
Toronto Raptors,2028,Second Round,,,,,,,
Toronto Raptors,2029,First Round,,,,,,,
Toronto Raptors,2029,Second Round,,,,,,,
Toronto Raptors,2030,First Round,,,,,,,
Toronto Raptors,2030,Second Round,,,,,,,
Toronto Raptors,2031,First Round,,,,,,,
Toronto Raptors,2032,First Round,,,,,,,
Utah Jazz,2026,First Round,,,,,2.0,,
Utah Jazz,2027,Second Round,Denver Nuggets,,,,,,
Utah Jazz,2027,Second Round,Los Angeles Clippers,,,,,,
Utah Jazz,2028,First Round,,,Cleveland Cavaliers,,,,
Utah Jazz,2028,Second Round,Cleveland Cavaliers,,,,,,
Utah Jazz,2029,Second Round,,,,,,,
Utah Jazz,2030,First Round,,,,,,,
Utah Jazz,2031,First Round,,,,,,,
Utah Jazz,2031,Second Round,,,,,,,
Utah Jazz,2032,First Round,,,,,,,
Utah Jazz,2032,Second Round,Cleveland Cavaliers,,,,,,
Utah Jazz,2027,Second Round,,,"Boston Celtics, Orlando Magic",,,,
Utah Jazz,2031,Second Round,,,"Boston Celtics, Cleveland Cavaliers",,,,
